product_id,product_name,category,cost_price,price
79,Adidas Sports Socks Pack Max Grey,Fashion Basics,419.58,999
80,Adidas Sports Socks Pack Prime Red,Fashion Basics,118.49,289
81,Prestige Non Stick Fry Pan Ultra White,Kitchen Products,869.42,1499
82,Prestige Non Stick Fry Pan Max Black,Kitchen Products,1172.49,2299
83,Pigeon Electric Kettle 1.5L Pro Silver,Kitchen Products,2725.42,4699
84,Pigeon Electric Kettle 1.5L Pro Green,Kitchen Products,857.34,1299
85,Milton Lunch Box Deluxe Neo Grey,Kitchen Products,539.46,999
86,Milton Lunch Box Deluxe Plus Black,Kitchen Products,649.5,1299
87,Cello Glass Storage Jar Set Lite Green,Kitchen Products,2243.32,3299
88,Cello Glass Storage Jar Set Max Blue,Kitchen Products,1253.43,2199
89,Wonderchef Chopper Compact Pro Blue,Kitchen Products,563.53,1199
90,Wonderchef Chopper Compact Lite White,Kitchen Products,1149.54,2499
91,Borosil Mixing Bowl Set Plus White,Kitchen Products,911.52,1899
92,Borosil Mixing Bowl Set Ultra Red,Kitchen Products,2005.41,3399
93,Prestige Pressure Cooker 3L Neo Red,Kitchen Products,692.37,1099
94,Prestige Pressure Cooker 3L Plus Green,Kitchen Products,769.45,1399
95,Philips Hand Blender White Max White,Kitchen Products,643.54,1399
96,Philips Hand Blender White Max Green,Kitchen Products,377.46,699
97,Kent Water Bottle Copper Plus Blue,Kitchen Products,1495.32,2199
98,Kent Water Bottle Copper Pro Silver,Kitchen Products,1196.43,2099
99,Solimo Kitchen Towel Pack Ultra White,Kitchen Products,1205.33,1799
100,Solimo Kitchen Towel Pack Neo Grey,Kitchen Products,974.35,1499
101,Philips Hair Dryer Foldable Prime Grey,Small Appliances,959.4,1599
102,Philips Hair Dryer Foldable Max Blue,Small Appliances,2386.23,3099
103,Bajaj Room Heater Compact Plus Red,Small Appliances,2507.24,3299
104,Bajaj Room Heater Compact Plus Grey,Small Appliances,1727.28,2399
105,Prestige Sandwich Maker Black Plus Red,Small Appliances,2441.34,3699
106,Prestige Sandwich Maker Black Ultra Red,Small Appliances,3974.25,5299
107,Havells Steam Iron Neo Prime Black,Small Appliances,8819.37,13999
108,Havells Steam Iron Neo Plus Red,Small Appliances,3219.3,4599
109,USHA Table Fan Breeze Ultra Blue,Small Appliances,3359.3,4799
110,USHA Table Fan Breeze Prime Blue,Small Appliances,3197.18,3899
111,Kent Electric Chopper Mini Plus Red,Small Appliances,1119.2,1399
112,Kent Electric Chopper Mini Neo Red,Small Appliances,2639.34,3999
113,Morphy Richards Toaster 2 Slice Lite Silver,Small Appliances,3023.28,4199
114,Morphy Richards Toaster 2 Slice Neo Silver,Small Appliances,9535.36,14899
115,Orient Emergency Light LED Pro Blue,Small Appliances,2915.19,3599
116,Orient Emergency Light LED Lite White,Small Appliances,3999.2,4999
117,Agaro Coffee Maker Compact Ultra Black,Small Appliances,2679.33,3999
118,Agaro Coffee Maker Compact Prime Red,Small Appliances,1424.25,1899
119,Inalsa Vacuum Cleaner Basic Plus Red,Small Appliances,6363.26,8599
120,Inalsa Vacuum Cleaner Basic Lite Blue,Small Appliances,4287.36,6699
121,Portronics Fast Charger 20W Edition Lite Silver,Electronics Accessories,1693.23,2199
122,Wonderchef Chopper Compact Edition Prime Green,Kitchen Products,569.43,999
123,Ambrane Bluetooth Speaker Mini Edition Lite Grey,Electronics Accessories,2573.22,3299
124,Maybelline Nude Matte Lipstick Edition Plus Black,Personal Care,66.78,159
125,Maybelline Nude Matte Lipstick Edition Lite Red,Personal Care,179.7,599
126,Prestige Cleaning Gloves Edition Neo Grey,Household,1871.52,3899
127,Philips Hand Blender White Edition Lite Green,Kitchen Products,427.05,949
128,Morphy Richards Toaster 2 Slice Edition Ultra Silver,Small Appliances,2267.19,2799
129,Scotch Brite Floor Mop Edition Neo Silver,Household,681.38,1099
130,Biba Ethnic Dupatta Maroon Edition Neo White,Fashion Basics,380.24,679
131,Noise Air Buds Mini Black Edition Neo Blue,Electronics Accessories,332.52,489
132,Pigeon Dustbin Medium Edition Prime Blue,Household,409.59,999
133,Mi Power Bank 10000mAh Edition Lite Green,Electronics Accessories,535.2,669
134,Logitech Wireless Mouse Compact Edition Max Grey,Electronics Accessories,1457.19,1799
135,Logitech Wireless Mouse Compact Edition Ultra Red,Electronics Accessories,472.96,739
136,Adidas Sports Socks Pack Edition Neo Blue,Fashion Basics,1221.53,2599
137,Nivea Body Lotion Cocoa Edition Ultra Green,Personal Care,76.48,239
138,Levis Crew Neck Black TShirt Edition Max Grey,Fashion Basics,415.26,769
139,Jockey Cotton Vest White Edition Lite Blue,Fashion Basics,863.46,1599
140,HP USB Keyboard Slim Edition Ultra Black,Electronics Accessories,389.35,599
141,Cetaphil Gentle Cleanser Edition Ultra White,Personal Care,187.6,469
142,Cetaphil Gentle Cleanser Edition Plus Grey,Personal Care,402.78,959
143,AmazonBasics Laundry Basket Edition Ultra Black,Household,168.73,359
144,Home Centre Cushion Cover Edition Neo Red,Household,681.38,1099
145,Borosil Mixing Bowl Set Edition Plus Black,Kitchen Products,1154.45,2099
